city,jumlah_review,jumlah_view,location,price,product_id,quantity_sold,rating,shop_name,subcategory,title,Tanggal Pembelian,quantity
Kota Surabaya,98,"19,600",Kota Surabaya,68000,267954589,232,5,Paphika,Blouse,Jojoba Jumbo Baju Atasan Wanita Big Size Motif Bunga Lengan Panjang,12-5-2018,232
Kota Surabaya,144,"18,800",Kota Surabaya,73000,103916763,310,5,Paphika,Blouse,Jumbo Blooming Owl Baju Atasan Wanita Bigsize Oversized Big,12-4-2018,310
Kota Surabaya,92,"18,500",Kota Surabaya,78000,259408583,240,5,Paphika,Blouse Batik,Blouse Batik Super Jumbo Bigsize Baju Atasan Wanita Big Size 373 vol 1,12-4-2018,240
Jakarta,105,"18,100",Jakarta,59000,79970200,250,4,Risna shop,Setelan,Set Jumpsuit Funny Baju setelan wanita Dewasa ABG Jp Fenny,12-3-2018,250
Kota Bandung,65,"16,800",Kota Bandung,69999,55878400,166,4,AFWINDO Grosir Fashion,Blouse,Back Halter Slim Top Baju Atasan Wanita Sabrina Blouse (BL888),12-3-2018,166
Jakarta,55,"16,500",Jakarta,79900,199071453,116,5,Pikoi_id,Blouse Batik,Baju Batik Wanita Modern - Batik Kantor Murah - Atasan Batik Kerja 791,12-2-2018,116
Kota Banjar,72,"16,400",Kota Banjar,52000,157914662,225,5,redishop,Kaos,kaos stripe belang atasan baju wanita lengan panjang size L,12-1-2018,225
Jakarta,39,"16,100",Jakarta,79000,162050500,104,4,CASHYUPHORIA SHOP,Kemeja,baju atasan kemeja tunik cewek wanita lengan panjang - devna blouse,12-1-2018,104
Kota Depok,95,"15,800",Kota Depok,58000,152392401,199,5,Nina Colecction,Daster,Baju tidur wanita dewasa sexy kimono lingerie daster,12-1-2018,199
Jakarta,54,"15,600",Jakarta,30999,222144700,293,4,Agung RoKr,Blouse,BELLE - BLOUSE BAJU ATASAN KAOS MURAH WANITA-CEWEK LENGAN PANJANG,12-1-2018,293
Kota Surakarta,37,"15,400",Kota Surakarta,110000,104457320,90,5,myfashion,Blouse,BAJU ATASAN WANITA BLOUSE MUSLIM TUNIK JEANS DENIM BUTTON JUMBO,28-11-2018,90
Jakarta,70,"15,100",Jakarta,105000,227199422,146,5,endang pitrijani,Blouse,"Vorie Tunik,baju kerja jumbo,atasan wanita muslim,baju murah,bumil",28-11-2018,146
Jakarta,14,"14,700",Jakarta,109000,25041216,39,4,GROSIR KOREAN FASHION,Celana Panjang,KEMEJA OVERSIZED BLOUSE KOREA PAKAIAN BAJU WANITA FASHION TOP ATASAN,27-11-2018,39
Kota Bandung,194,"14,700",Kota Bandung,36998,199286180,707,5,multishop_bdg,Sweater,Loose sweater | sweater rajut | baju rajut | pakaian wanita | rajutan,27-11-2018,707
Kota Denpasar,42,"14,100",Kota Denpasar,89900,31408236,103,5,Clothing Media Indo,Mini Dress,Baju Sexy Elsa Lingerie Wanita Rok Mini Semi Transparan Gaun Backless,27-11-2018,103
Kota Surabaya,81,14000,Kota Surabaya,64000,228177819,185,5,Paphika,Blouse,Big Maureen Batwing Baju Atasan Wanita Blouse Bigsize Jumbo,26-11-2018,185
Jakarta,31,"13,800",Jakarta,79000,13522133,74,5,GROSIR KOREAN FASHION,Kaos,Kaos Baju Fashion Wanita Shirt Kemeja Blouse Atasan Korea New 2015332,25-11-2018,74
Jakarta,91,"13,600",Jakarta,72500,195258771,252,5,Parrot Computer,Piyama,Piyama 413 Baju Tidur Cewek Piyama Pendek Wanita Bajutidur Satin Murah,25-11-2018,252
Kab. Bekasi,24,"12,700",Kab. Bekasi,102000,190147470,61,5,Pedkey Butik,Blouse,Blouse Jumbo Baju Atasan Wanita Big Size Ukuran Besar FL828,24-11-2018,61
Jakarta,130,"12,600",Jakarta,47000,270018910,502,5,Chel&#39;z Shop,Daster,Baju Tidur Wanita-Cewek Satin Daster-Baju Tidur Piyama Daster Kancing,23-11-2018,502
Jakarta,23,"12,500",Jakarta,82000,158123848,62,5,luky watch shop,Setelan,Setelan Baju Wanita - Baju Senam Sport - Baju Santai Wanita - Kaos,21-11-2018,62
Kota Surabaya,75,"12,400",Kota Surabaya,74000,210465720,171,5,Paphika,Blouse,Super Jumbo Melanie Blouse Bigsize Baju Atasan Wanita Jumbo Spandex,21-11-2018,171
Jakarta,130,"12,400",Jakarta,67000,95211590,402,5,KINARA Storez,Sneakers,Kaos T-shirt Baju Sport Gym Yoga Olahraga Fitnes Senam Jogging Wanita,20-11-2018,402
Jakarta,64,"11,800",Jakarta,72000,185525494,158,5,Parrot Computer,Daster,Baju Tidur Satin Sleepwear Wanita Bajutidur Lingerie Nightdress Murah,19-11-2018,158
Kota Depok,162,"11,700",Kota Depok,35000,336992160,430,5,Sakura.Collection,Kaos,Baju Blouse - Blus Wanita Atasan Lengan Panjang Murah,18-11-2018,430
Jakarta,54,"11,500",Jakarta,85000,79539451,100,4,Lingerie Style,Lingerie,Baju Tidur Wanita Dewasa Sexy Kimono Import Trikot Silk,18-11-2018,100
Jakarta,30,"11,100",Jakarta,42000,208881521,142,4,RisRus Apparel,Kemeja,DELTA TOP | PAKAIAN WANITA | BAJU ATASAN |KEMEJA WANITA | KEMEJA PUTIH,16-11-2018,142
Jakarta,108,"10,700",Jakarta,10000,242733523,767,5,Twinz Collections,Celana Tidur,Baju tidur wanita-sleepwear-piyama wanita-celana spandek-celana santai,16-11-2018,767
Jakarta,19,"10,600",Jakarta,125000,217353863,38,5,Amelie Butik Wholesale,Jumpsuit,Overall Jumpsuit Kerja Baju Celana Panjang Wanita Korea Bangkok Import,16-11-2018,38
Jakarta,24,"10,600",Jakarta,98000,270868532,52,5,inovashion,Midi Dress,SATO TIED DRESS bodycon baju kerja baju pesta pakaian terusan wanita,15-11-2018,52
Kota Surabaya,91,"10,500",Kota Surabaya,63000,73006502,190,5,Paphika,Blouse,Jumbo Grey Star Batwing Abu Baju Atasan Wanita Bigsize Oversized Big,14-11-2018,190
Jakarta,3,"10,500",Jakarta,110000,258219923,8,5,Djeeva Store,Kebaya,Baju Busana Muslim Kebaya Batik Wanita Modern Arina Glow Set Dusty,13-11-2018,8
Jakarta,13,"10,100",Jakarta,95000,202113801,47,5,chantyshop,Maxi Dress,baju muslim wanita gamis maxi maxy lengan panjang - Laendra Dress,11-11-2018,47
Jakarta,60,"9,600",Jakarta,48000,326270493,217,4,Lobby Mode,Blouse,LM- 46478 -baju tunic atasan wanita Diana tunic jumbo,11-9-2018,217
Jakarta,36,"9,600",Jakarta,99000,244812962,95,5,Parrot Computer,Lingerie,Lingerie Seksi Baju Tidur Cantik Sexy Lingeri Wanita Set Flamengo Cewe,11-9-2018,95
Kota Pekalongan,63,"9,500",Kota Pekalongan,30500,164864612,173,4,RisqianaBatik,Daster,Daster payung batik pekalongan - baju hamil - baju tidur wanita-daster,11-9-2018,173
Jakarta,57,"9,400",Jakarta,65000,181828511,140,4,Komutan Shop,Maxi Dress,ANNIE OVERALL HITAM PEACH GREEN MAROON - DRESS - WANITA - BAJU KODOK,11-7-2018,140
Jakarta,26,"9,200",Jakarta,185000,71458374,36,5,Vintagelicious,Blouse,Baju pesta atasan wanita brukat glitter ALL SIZE,11-6-2018,36
Kab. Bekasi,26,9000,Kab. Bekasi,107000,205115904,53,5,Pedkey Butik,Blouse, Bigsize Blouse Jumbo Baju Atasan Wanita Big Size Ukuran Besar TF794,11-6-2018,53
Kota Surabaya,58,"8,800",Kota Surabaya,104000,163196320,171,5,Paphika,Blouse,Jumbo Victoria Baju Atasan Wanita Bigsize Jumbo Oversized,11-3-2018,171
Jakarta,62,"8,800",Jakarta,28000,291294883,321,5,LOVE THE WORLD,Daster,Grosir Baju Tidur Kaos Impor Daster Dewasa Jumbo Wanita Murah,11-2-2018,321
Jakarta,11,"8,500",Jakarta,75000,222571060,25,5,chantyshop,Blouse,baju atasan kemeja tunik wanita lengan panjang - demin tunik long,11-1-2018,25
Kota Surabaya,59,"8,400",Kota Surabaya,68000,333408820,142,5,Paphika,Blouse Batik,Baju Blouse Jumbo Salwa Batik Baju Atasan Wanita Bigsize,11-1-2018,142
Jakarta,52,"8,400",Jakarta,95000,176317001,156,5,Parrot Computer,Piyama,Baju Tidur Kimono Hitam Bajutidur Sleepwear Set Wanita Lingerie Seksi,28-10-2018,156
Jakarta,53,"8,400",Jakarta,150000,3187613,197,4,Longjohn - Baju winter,Sweater,Longjohn Wanita - Baju Thermal,26-10-2018,197
Jakarta,18,"8,100",Jakarta,98000,101600092,38,4,GROSIR KOREAN FASHION,Sweater,sweater blouse atasan putih rajut knit fashion wanita korea baju dress,26-10-2018,38
Jakarta,25,8000,Jakarta,150000,182143362,111,4,Parrot Computer,Piyama,Baju Tidur Wanita Piyama Cantik Bajutidur 005 Sleepwear Lingerie Murah,25-10-2018,111
Kota Bandung,92,"7,900",Kota Bandung,29900,199268114,332,5,multishop_bdg,Sweater,Bolda swater | swater rajut | baju rajut | sweater wanita | rajutan,24-10-2018,332
Jakarta,130,"7,900",Jakarta,85000,267437430,384,5,Chel&#39;z Shop,Piyama,Baju Tidur Cewek-Wanita Piyama Pajamas Satin Jumbo Big Size Murah,24-10-2018,384
Jakarta,40,"7,700",Jakarta,102000,180415464,115,5,Parrot Computer,Piyama,Daster Satin Baju Tidur Wanita Bajutidur Cantik 1607 Sleepwear Dress,23-10-2018,115
Kota Surabaya,42,"7,700",Kota Surabaya,83000,272788503,117,5,Paphika,Blouse,Jumbo Tessa Baju Atasan Wanita Big Size Spandek Lengan Panjang,22-10-2018,117
Kab. Bekasi,53,"7,600",Kab. Bekasi,59999,187155612,124,5,Figura Bingkai RAFEL,Sweater,"Pocky Sweater, Baju Wanita Rajut Halus, Murah Bagus",21-10-2018,124
Jakarta,146,"7,600",Jakarta,156000,318316178,704,5,Albanaa Store,Midi Dress,Baju Atasan Wanita Sweater Long Dress Pesta Midi Dress,20-10-2018,704
Jakarta,76,"7,500",Jakarta,79000,237203743,195,5,KaraKorea Shop,Blouse,Emily Short Sleeve Tee-Baju Wanita Lengan Pendek-Blouse Wanita,17-10-2018,195
Jakarta,18,"7,500",Jakarta,239500,12876763,40,5,Grosir Korean style,Coat,BLAZER JAKET OUTER CARDIGAN FASHION WANITA KOREA COAT BAJU NEW 2015058,16-10-2018,40
Kab. Bekasi,21,"7,500",Kab. Bekasi,102000,197544614,44,5,Pedkey Butik,Dress Batik,Dress Batik Jumbo Dress Baju Terusan Wanita Bigsize 272WB,16-10-2018,44
Kota Bandung,26,"7,500",Kota Bandung,235000,32940241,58,5,FashionOnline,Coat,Jaket coat mantel baju hangat wanita korea JESSIE biru,15-10-2018,58
Kota Surabaya,35,"7,400",Kota Surabaya,92000,319237661,120,5,Paphika,Blouse,Blouse Brukat Jumbo 3XL Baju Atasan Wanita Bigsize Brokat,15-10-2018,120
Kota Depok,48,"7,400",Kota Depok,65000,240699253,121,5,Nina Colecction,Daster,daster jumbo baju tidur dewasa wanita katun murah,15-10-2018,121
Jakarta,19,"7,400",Jakarta,79000,13521141,36,5,GROSIR KOREAN FASHION,Kaos,Kaos Baju Fashion Wanita Shirt Kemeja Blouse Atasan Korea New 2015232,14-10-2018,36
Kota Surakarta,18,"7,400",Kota Surakarta,90000,268471995,46,5,Batik Rini,Blouse Batik,tunik-tunik murah-atasan batik wanita-baju kantor,14-10-2018,46
Kota Surakarta,4,"7,400",Kota Surakarta,79000,142182124,6,5,Mekar OS,Blouse,Blouse - Baju Atasan Wanita Batik Biku,14-10-2018,6
Kota Surabaya,26,"7,300",Kota Surabaya,74000,204985582,55,5,Paphika,Blouse,Big Vera Rope Lengan Panjang Blouse Bigsize Baju Atasan Wanita Jumbo,13-10-2018,55
Kota Tangerang,60,"7,100",Kota Tangerang,39000,297195461,255,5,AA Kasimura,Lingerie,Lingerie Sexy Baju Tidur Wanita Dewasa Seksi Lenjeri Kado Suami Istri,10-9-2018,255
Jakarta,17,"7,100",Jakarta,275000,250059054,74,5,Parrot Computer,Piyama,Baju Tidur Lingerie Dewasa Wanita Sexy Kimono Premium Seserahan 863,10-8-2018,74
Jakarta,5,7000,Jakarta,199250,211361532,5015,4,chibishop,Maxi Dress,GAUN PANJANG PESTA PARTY MAXI LONG DRESS BAJU TERUSAN FASHION WANITA P,10-7-2018,5015
Jakarta,66,"6,700",Jakarta,49000,177262443,200,4,KaraKorea Shop,Blouse,Giselle Double Layered Tee-Baju Wanita-Baju kerja-Baju lengan pendek,10-6-2018,200
Kota Surakarta,18,"6,700",Kota Surakarta,100000,289481341,47,5,Batik Rini,Blouse Batik,Tunik-atasan batik wanita-tunik jumbo-baju big size,10-5-2018,47
Jakarta,31,"6,700",Jakarta,54900,41892373,97,5,Batik Hengky,Daster,Batik Hengky - Daster - Supplier Pakaian Wanita Dress Baju Tidur Murah,10-4-2018,97
Kota Surabaya,35,"6,600",Kota Surabaya,78000,283976491,115,5,Paphika,Blouse Batik,Blouse Batik Super Jumbo Bigsize Baju Atasan Wanita Big Size 373 vol 8,10-4-2018,115
Jakarta,15,"6,600",Jakarta,87500,13513561,46,4,GROSIR KOREAN FASHION,Rok Midi,Rok Skirt Celana Fashion Wanita Korea Baju Dress Blazer New 001,10-4-2018,46
Kota Surabaya,21,"6,600",Kota Surabaya,62000,236401624,57,5,Paphika,Blouse,Jumbo Justine Baju Atasan Wanita Lengan Panjang Jumbo Bigsize,10-4-2018,57
Jakarta,24,"6,600",Jakarta,102000,187205012,72,5,Parrot Computer,Daster,Sexy Lingerie Wanita Daster Murah Seksi 903 Lingeri Baju Tidur Murah,10-3-2018,72
Kota Bandung,42,"6,600",Kota Bandung,49000,307335440,96,5,Tazkia Hijab Store,Blouse,Baju Atasan Wanita Alika Top Blouse Baju Muslim Blus Muslim,10-3-2018,96
Kota Surabaya,31,"6,500",Kota Surabaya,85000,278455142,85,5,Paphika,Blouse,Big Britney Salur Blouse Big Size Baju Atasan Wanita Jumbo Spandex,28-09-2018,85
Jakarta,62,"6,400",Jakarta,43000,225920750,182,5,Twinz Collections,Piyama,Baju tidur wanita-piyama wanita-sleepwear-kaos spandek,28-09-2018,182
Jakarta,80,"6,400",Jakarta,90000,281591844,215,5,Chel&#39;z Shop,Piyama,Baju Tidur Wanita-Cewek Piyama Pajamas Satin Jumbo Big Size PP Murah,28-09-2018,215
Kota Tangerang,12,"6,400",Kota Tangerang,79000,282036807,35,5,bohemianshop,Kemeja,KK2 ATASAN KEMEJA XL JUMBO PUTIH KATUN BAJU KANTOR WANITA TUNIK BORDIR,28-09-2018,35
Kab. Bekasi,18,"6,400",Kab. Bekasi,97000,206414370,48,5,Pedkey Butik,Blouse,Bigsize Blouse Jumbo Baju Atasan Wanita Big Size Ukuran Besar TRS873,25-09-2018,48
Kota Pekalongan,55,"6,300",Kota Pekalongan,31500,197907941,134,4,RisqianaBatik,Daster,Setelan kulot batik pekalongan - baju tidur wanita - babydoll murah,24-09-2018,134
Kota Bandung,11,"6,300",Kota Bandung,55000,310020850,40,4,THE FASHION ROOM,Sweater,sweter baju hoodie atasan kaos cewek wanita remaja abg lengan panjang,24-09-2018,40
Jakarta,75,"6,200",Jakarta,165000,331035280,132,5,Arabela Shop,Midi Dress,"Baju Wanita Dress Rok Pendek Bahan Jeans Hoodie Tudung Penutup, Kepala",22-09-2018,132
Kota Cirebon,24,"6,200",Kota Cirebon,42500,265063674,88,4,tokochio,Lingerie,baju tidur wanita - baju tidur satin - sexy lingerie kimono,19-09-2018,88
Jakarta,36,"6,100",Jakarta,150000,64725794,127,4,TOKO TIGA LEBIH MURAH,Setelan,LONG JOHN WANITA - BAJU HANGAT - WINTER - BAJU DALEMAN - BAJU PANJANG,19-09-2018,127
Kota Pekalongan,45,"6,100",Kota Pekalongan,29500,189228652,209,4,RisqianaBatik,Daster,Daster jumbo batik pekalongan - baju menyusui - baju tidur wanita,19-09-2018,209
Jakarta,13,"6,100",Jakarta,130000,319661092,49,5,Amelie Butik Wholesale,Rok Maxi,Rok Panjang Maxi Skirt Tutu Wanita Baju Korea Bangkok Import AB50765,17-09-2018,49
Jakarta,27,"6,100",Jakarta,68000,132334600,54,5,Lingerieku,Daster,Baju Tidur Wanita Satin Lembut Stelan Kimono dan Daleman BTK 002,17-09-2018,54
Jakarta,22,"6,100",Jakarta,99000,34272964,79,5,BLOOM online store,Kemeja,BRANDED H&M WOMAN SHIRT KEMEJA WANITA LENGAN PANJANG BAJU KERJA,15-09-2018,79
Jakarta,15,6000,Jakarta,80000,48763263,36,4,Dress,Blouse,Tunik Kemeja Panjang Fashion Trendy Atasan Pakaian Baju Wanita Muslim,13-09-2018,36
Kota Tangerang Selatan,38,"5,900",Kota Tangerang Selatan,85000,273949364,123,5,Michary Shop,Piyama,BAJU TIDUR PIYAMA WANITA CEWEK IMPORT MURAH BAGUS,13-09-2018,123
Jakarta,27,"5,900",Jakarta,50000,14743540,43,4,GROSIR KOREAN FASHION,Rok Midi,Rok Skirt Celana Fashion Wanita Korea Baju Dress Blazer jaket  2015106,9-12-2018,43
Kota Surabaya,28,"5,900",Kota Surabaya,65000,250676011,64,5,Paphika,Blouse,Big Donita Lengan Panjang Blouse Big Size Baju Atasan Wanita Jumbo,9-10-2018,64
Jakarta,19,"5,900",Jakarta,275000,182150793,67,5,Parrot Computer,Piyama,Piyama Satin Baju Tidur Wanita Premium Bajutidur Cantik Seserahan 013,9-10-2018,67
Jakarta,47,"5,800",Jakarta,102000,180416552,122,4,Parrot Computer,Daster,Daster Wanita Baju Tidur Satin Bajutidur Murah 1615 Cantik Sleepwear,9-9-2018,122
Kab. Bekasi,27,"5,700",Kab. Bekasi,50000,236472572,216,5,Lacel Dabana Clothing,Celana Tidur,PROMO!! Celana Pendek Wanita-Celana Tidur Pendek-Baju Tidur-Piyama,9-8-2018,216
Kab. Bandung,9,"5,700",Kab. Bandung,80000,238480850,34,5,Zomblo Shop,Maxi Dress,Basic Maxi Long Dress Wanita Baju Muslim Gamis Gaun Pesta Kebaya Murah,9-4-2018,34
Jakarta,43,"5,600",Jakarta,45000,130636662,179,5,Parrot Computer,Lingerie,Sexy Lingerie Murah Lingeri Seksi Lingerie Wanita La Senza Baju Tidur,9-3-2018,179
Jakarta,91,"5,600",Jakarta,10000,242737864,647,5,Twinz Collections,Celana Tidur,Baju tidur wanita-sleepwear-piyama wanita-celana spandek-celana santai,9-2-2018,647
Kota Surabaya,37,"5,600",Kota Surabaya,74000,336967545,84,5,Paphika,Kemeja,Kemeja Wanita Jumbo Kemeja Salur Baju Atasan Wanita Bigsize,9-1-2018,84
Kota Surabaya,11,"5,400",Kota Surabaya,275000,266103961,89,5,Miss.Shinee,Lingerie,Baju Tidur Wanita Kimono Tank top Dress Korean Cantik Sexy Lingerie,26-08-2018,89
Jakarta,9,"5,300",Jakarta,157000,240612214,17,4,Amelie Butik Wholesale,Kemeja,Baju Atasan Kerja Lengan Kemeja Pita Scarf Blouse Wanita Korea Import,25-08-2018,17
Jakarta,34,"5,300",Jakarta,61000,260763730,89,5,Chel&#39;z Shop,Piyama,Baju Tidur Cewek-Wanita Piyama Pajamas Katun Motif Black Cat Murah,22-08-2018,89
Kota Depok,43,"5,200",Kota Depok,54900,215113862,113,5,Nina Colecction,Daster,daster baju tidur katun dewasa wanita kancing depan kekinian,22-08-2018,113
Jakarta,12,"5,200",Jakarta,245000,278787442,25,4,AMALIA COLLECTION29,Batik Couple,BAJU BATIK GAMIS WANITA SARIMBIT PESTA COUPLE MUSLIM KELUARGA MEWAH,21-08-2018,25
Jakarta,15,"5,200",Jakarta,131000,268788323,31,5,Amelie Butik Wholesale,Kemeja,Baju Atasan Kerja Kemeja Wanita Hitam Putih Blouse Korea Import Tunik,20-08-2018,31
Kab. Bekasi,14,"5,200",Kab. Bekasi,107000,212863480,44,5,Pedkey Butik,Blouse,Bigsize Blouse Jumbo Baju Atasan Wanita Big Size Ukuran Besar Pauline,20-08-2018,44
Kota Pekalongan,24,"5,200",Kota Pekalongan,35500,277010183,62,4,RisqianaBatik,Setelan,Setelan celana panjang batik pekalongan - baju tidur wanita - baby dol,20-08-2018,62
Jakarta,45,"5,100",Jakarta,23999,304568500,135,5,Dinara Collection,Maxi Dress,Dress Wanita Anisa - Baju Kaos Salur - Pakaian Wanita - Long Dress,19-08-2018,135
Jakarta,30,"5,100",Jakarta,90000,296477823,143,5,Parrot Computer,Daster,Daster Wanita Baju Tidur Jumbo 933 Sleepdress XL Bajutidur Satin Cewek,18-08-2018,143
Kota Surabaya,10,"5,100",Kota Surabaya,76000,260380900,24,5,Paphika,Blouse,Big Katya Abu Blouse Bigsize Baju Atasan Wanita Spandex Rayon Brukat,18-08-2018,24
Jakarta,88,"5,100",Jakarta,23000,52099043,470,4,fashionnisme,Jam Tangan Analog,Manset Baju Dalaman Cewe Wanita Spandek Rayon,16-08-2018,470
Jakarta,51,5000,Jakarta,10000,272061573,314,5,Twinz Collections,Celana Tidur,Baju tidur wanita-piyama wanita-sleepwear-celana tidur-celana santai,15-08-2018,314
Jakarta,13,5000,Jakarta,210000,5975303,33,4,Desmira Medika,Setelan,Baju Seragam Perawat Wanita Lengan Panjang,14-08-2018,33
Jakarta,22,5000,Jakarta,48750,309274942,68,5,LEMONE,Midi Dress,Lemone Tshirt Dress Cewe Spandek Premium Baju Wanita 510PS11598 Hitam,8-12-2018,68
Kota Pekalongan,52,"4,900",Kota Pekalongan,32500,74319443,124,4,RisqianaBatik,Piyama,setelan kulot batik pekalongan babydoll murah baju tidur wanita,8-9-2018,124
Jakarta,30,"4,800",Jakarta,100000,279943672,72,5,Parrot Computer,Daster,Kimono Baju Tidur Wanita 2 Bajutidur Nightdress Sleepwear Lingerie 225,8-6-2018,72
Kota Surabaya,36,"4,800",Kota Surabaya,83000,292936030,94,5,Paphika,Blouse,Blouse Jumbo Big Lorna Kerah Baju Atasan Wanita Hitam Lengan Panjang,8-5-2018,94
Jakarta,20,"4,700",Jakarta,99000,194104914,47,4,casis,Piyama,baju tidur piyama wanita SIMPLY PAJAMA SS (LGN PENDEK - CLN PENDEK),8-3-2018,47
Jakarta,20,"4,500",Jakarta,235000,249870072,67,5,Parrot Computer,Piyama,Baju Tidur Wanita Muslimah Allison Premium Satin Piyama Panjang Motif,8-3-2018,67
Jakarta,27,"4,500",Jakarta,130000,264446524,80,5,Parrot Computer,Piyama,Baju Tidur Wanita Bajutidur Katun Lengan Celana Panjang Piyama Muslim,8-2-2018,80
Kota Surakarta,9,"4,400",Kota Surakarta,55000,136882065,24,5,YUCWHOLESALE,Blouse,jadde blouse white - tunik - top - atasan putih wanita - baju murah,8-1-2018,24
Jakarta,14,"4,400",Jakarta,48750,258304724,39,5,LEMONE,Kaos,Lemone - Baju Dress Kaos Wanita Premium 178SS601321 Coklat,26-07-2018,39
Kota Tangerang,43,"4,300",Kota Tangerang,48000,295801923,104,5,AA Kasimura,Lingerie,Baju Tidur Piyama Seksi Lingerie Sexy Pakaian Dalam G String Wanita,25-07-2018,104
Kab. Pekalongan,10,"4,300",Kab. Pekalongan,75000,287555187,20,5,Batik Alita,Blouse Batik,Tunik Batik Wanita Dress Batik Baju Batik Atasan Wanita 06,25-07-2018,20
